GroupCode;GroupName;Congregations;Adherents;Adherents_percent_of_Total_Adherents;Adherents_percent_of_Population
326;(Original) Church of God;15;;;
1;Advent Christian Church;249;17780;0.01;0.01
3;African Methodist Episcopal Church;3667;1059888;0.66;0.32
5;African Methodist Episcopal Zion Church;1587;304704;0.19;0.09
FHJ;Agape Christian Fellowship;21;2616;0.00;0.00
9;Albanian Orthodox Diocese of America;2;800;0.00;0.00
12;Alliance of Baptists;122;;;
15;Amana Church Society;1;321;0.00;0.00
16;Ambassadors Amish-Mennonite;8;923;0.00;0.00
FG6;American Anglican Church;12;;;
284;American Association of Lutheran Churches;57;;;
17;American Baptist Association;766;146820;0.09;0.04
19;American Baptist Churches in the USA;4790;1259804;0.78;0.38
22;American Carpatho-Russian Orthodox Diocese;78;7171;0.00;0.00
904;American Ethical Union;28;;;
30;American Presbyterian Church;2;;;
416;American Sikh Council;307;;;
31;Amish Groups undifferentiated;2863;320625;0.20;0.10
FFS;Anabaptist Disciples of Christ;15;2293;0.00;0.00
F01;Anglican Catholic Church;71;;;
FG4;Anglican Church in America;44;;;
33;Anglican Church in North America;873;;;
FG3;Anglican Province of America;56;;;
FG2;Anglican Province of Christ the King;39;;;
34;Antiochian Orthodox Christian Archdiocese of North America The;255;71216;0.04;0.02
FF7;Apostolic Christian Church (Nazarene) - East Conference;22;1820;0.00;0.00
FF8;Apostolic Christian Church (Nazarene) - West Conference;14;1322;0.00;0.00
40;Apostolic Christian Church of America;87;19557;0.01;0.01
FEX;Apostolic Christian Faith;25;2453;0.00;0.00
42;Apostolic Faith Mission of Portland OR;54;;;
45;Apostolic Lutheran Church of America;50;;;
FEY;Appalachian Mennonite Church;2;240;0.00;0.00
49;Armenian Apostolic Church of America (Catholicosate of Cilicia);32;35565;0.02;0.01
50;Armenian Church of North America (Catholicosate of Etchmiadzin);89;95207;0.06;0.03
51;Armenian Evangelical Churches (Additional);15;;;
53;Assemblies of God;12739;3094547;1.92;0.93
FGJ;Assemblies of the Lord Jesus Christ;33;;;
55;Associate Reformed Presbyterian Church;254;;;
220;Association of Free Lutheran Congregations;254;35804;0.02;0.01
58;Association of Messianic Congregations;12;;;
47;Association of Reformed Baptist Churches of America;13;;;
56;Baha'i Faith USA;983;178727;0.11;0.05
59;Baptist Missionary Association of America;1144;;;
61;Beachy Amish-Mennonite Churches;86;10093;0.01;0.00
FFV;Belarusan Autocephalous Orthodox Church;3;;;
FEZ;Believers in Christ;6;808;0.00;0.00
62;Berea Amish-Mennonite;11;824;0.00;0.00
63;Berean Fellowship of Churches;58;;;
FDT;Bethel Fellowship Mennonite Churches;16;1600;0.00;0.00
65;Bethel Ministerial Association Inc.;15;;;
73;Bible Fellowship Church;68;14333;0.01;0.00
217;Bible Holiness Church;34;;;
FE8;Bible Methodist Connection;93;;;
69;Bible Presbyterian Church (General Synod);26;;;
E54;Bible Way Church of Our Lord Jesus Christ World Wide Inc.;33;21718;0.01;0.01
FHW;Biblical Mennonite Alliance;76;6339;0.00;0.00
71;Brethren Church The (Ashland, Ohio);106;;;
75;Brethren In Christ Church;235;;;
70;Bruderhof Communities Inc.;19;2203;0.00;0.00
78;Bulgarian Eastern Orthodox Diocese of the USA Canada and Australia;24;5386;0.00;0.00
84;Calvary Chapel Fellowship Churches;243;;;
86;Canadian and American Reformed Churches;4;;;
FFM;Catholic Apostolic Church in North America;15;;;
81;Catholic Church;19405;61858137;38.37;18.66
82;Central Baptist Association;22;3009;0.00;0.00
FGS;Chabad Judaism;953;;;
244;Charis Fellowship;268;;;
87;Christadelphian;170;;;
89;Christian and Missionary Alliance;1776;414360;0.26;0.13
FDU;Christian Apostolic Church;4;253;0.00;0.00
353;Christian Brethren (Open Plymouth Brethren);841;;;
93;Christian Church (Disciples of Christ);3135;398072;0.25;0.12
97;Christian Churches and Churches of Christ;4787;1379041;0.86;0.42
FF1;Christian Communities;2;104;0.00;0.00
F10;Christian Congregation in North America;69;;;
101;Christian Methodist Episcopal Church;1608;269126;0.17;0.08
105;Christian Reformed Church in North America;792;149096;0.09;0.04
D83;Christ's Sanctified Holy Church;18;;;
F13;Church of Christ;19;;;
110;Church of Christ (Holiness) U.S.A.;124;;;
143;Church of Christ Mennonite;170;25897;0.02;0.01
111;Church of Christ Scientist;314;;;
F53;Church of God;204;;;
123;Church of God (Anderson Indiana);1944;427038;0.26;0.13
125;Church of God (Apostolic);18;;;
127;Church of God (Cleveland Tennessee);5921;868446;0.54;0.26
133;Church of God (Seventh Day);214;;;
C22;Church of God and Saints of Christ;22;;;
122;Church of God by Faith Inc.;169;;;
121;Church of God General Conference;78;2942;0.00;0.00
141;Church of God in Christ;3313;920429;0.57;0.28
145;Church of God of Prophecy;1614;;;
120;Church of God of the Apostolic Faith Inc.;56;;;
F16;Church of God of the Firstborn;2;;;
146;Church of God Mountain Assembly, Inc.;95;;;
151;Church of Jesus Christ of Latter-day Saints;14567;6721031;4.17;2.03
149;Church of Jesus Christ The (Bickertonites);64;;;
155;Church of Our Lord Jesus Christ of the Apostolic Faith Inc.;527;85938;0.05;0.03
157;Church of the Brethren;921;109288;0.07;0.03
FFK;Church of the Genuine Orthodox Christians;43;6053;0.00;0.00
A47;Church of the Living God (Christian Workers for Fellowship);109;;;
D59;Church of the Living God: Pillar and Ground of the Truth;41;;;
163;Church of the Lutheran Brethren of America;86;;;
164;Church of the Lutheran Confession;75;;;
165;Church of the Nazarene;5155;905690;0.56;0.27
438;Church of the United Brethren in Christ USA;160;21222;0.01;0.01
167;Churches of Christ;11881;1422331;0.88;0.43
168;Churches of Christ in Christian Union;186;;;
171;Churches of God General Conference;301;31228;0.02;0.01
172;Communion of Reformed Evangelical Churches;81;;;
173;Community of Christ;616;;;
FFG;Concordia Lutheran Conference;5;;;
176;Congregational Christian Churches Additional (not part of any national CCC body);53;5118;0.00;0.00
177;Congregational Holiness Church;188;;;
180;Congregational Methodist Church;139;;;
181;Conservative Congregational Christian Conference;312;51112;0.03;0.02
270;Conservative Judaism;529;417316;0.26;0.13
FDV;Conservative Mennonite Churches of York and Adams Counties PA;5;327;0.00;0.00
183;Conservative Mennonite Conference;109;16493;0.01;0.00
390;Conservative Yearly Meeting of Friends;32;1919;0.00;0.00
336;Convention of Original Free Will Baptist Churches;226;23490;0.01;0.01
57;Converge Worldwide / Baptist General Conference;881;;;
186;Coptic Orthodox Church;292;179155;0.11;0.05
FF6;Covenant Presbyterian Church;13;;;
184;Covenant Reformed Presbyterian Church;2;;;
185;Cumberland Presbyterian;608;64901;0.04;0.02
187;Cumberland Presbyterian Church in America;111;14473;0.01;0.00
FDW;Cumberland Valley Mennonite Church;7;692;0.00;0.00
FHX;Dariusleut Hutterite;22;1409;0.00;0.00
FG7;Diocese of the Holy Cross;19;;;
FFT;Dunkard Brethren Church;25;1523;0.00;0.00
286;Eastern Pennsylvania Mennonite Church;72;11193;0.01;0.00
FFW;ECO: A Covenant Order of Presbyterians;413;;;
FGK;Ecumenical Catholic Church;3;;;
FFP;Ecumenical Catholic Communion;33;2757;0.00;0.00
190;Elim Fellowship;243;;;
193;Episcopal Church;6353;1576611;0.98;0.48
FG8;Episcopal Missionary Church;26;;;
202;Eritrean Orthodox;64;41456;0.03;0.01
204;Ethiopian Orthodox;197;96374;0.06;0.03
FJ6;Evangel Presbytery;9;;;
198;Evangelical Association of Reformed and Congregational Christian Churches;114;;;
197;Evangelical Church The;110;9809;0.01;0.00
199;Evangelical Congregational Church;122;;;
201;Evangelical Covenant Church;863;154267;0.10;0.05
203;Evangelical Free Church of America;1602;;;
328;Evangelical Friends Church International;235;34960;0.02;0.01
207;Evangelical Lutheran Church in America;8857;3139413;1.95;0.95
FFF;Evangelical Lutheran Conference and Ministerium of North America;12;;;
FFE;Evangelical Lutheran Diocese of North America;31;;;
209;Evangelical Lutheran Synod;133;16536;0.01;0.00
215;Evangelical Methodist Church;83;;;
216;Evangelical Presbyterian Church;625;;;
FGP;Every Nation;85;;;
210;Federation of Reformed Churches;6;;;
FGL;Fellowship of Christian Assemblies;93;;;
211;Fellowship of Evangelical Bible Churches;17;;;
213;Fellowship of Evangelical Churches;71;9777;0.01;0.00
67;Fellowship of Fundamentalist Bible Churches;15;;;
346;Fire-Baptized Holiness Church of the Americas;34;;;
263;Foursquare Gospel International Church of the;1619;363626;0.23;0.11
224;Free Church of Scotland (Continuing);5;;;
221;Free Methodist Church--USA;619;71634;0.04;0.02
222;Free Presbyterian Church of North America;12;;;
FFA;Free Presbyterian Church of Scotland;1;;;
227;Free Reformed Churches of North America;2;;;
391;Friends General Conference;374;27722;0.02;0.01
393;Friends General Conference and Friends United Meeting dually aligned meetings;130;8102;0.01;0.00
225;Friends United Meeting;186;14138;0.01;0.00
F23;Full Gospel Assemblies International;49;;;
232;Full Gospel Baptist Church Fellowship;817;138354;0.09;0.04
FFR;Full Gospel Christian Assemblies International;722;240878;0.15;0.07
231;General Association of General Baptists;114;33916;0.02;0.01
388;General Association of Regular Baptist Churches;939;;;
233;General Church of the New Jerusalem;43;;;
242;Georgian Orthodox Parishes in the United States;14;1215;0.00;0.00
FHN;German Apostolic / Christian Apostolic Churches;8;618;0.00;0.00
FJ4;German Baptist Brethren;3;177;0.00;0.00
FGM;Grace Communion International;180;;;
243;Grace Gospel Fellowship;108;;;
246;Greek Orthodox Archdiocese of America;533;375117;0.23;0.11
FDX;Haven Mennonite Fellowship;3;365;0.00;0.00
248;Heritage Reformed Congregations;6;803;0.00;0.00
FGD;Higher Ground Always Abounding Assemblies;72;;;
895;Hindu Temples;433;831229;0.52;0.25
896;Hindu Yoga and Meditation;1378;437115;0.27;0.13
247;Holiness Church Of God Inc., The;17;;;
FG9;Holy Catholic Church Anglican Rite;6;;;
251;Holy Orthodox Church in North America;16;749;0.00;0.00
FHQ;Hoover Old Order Mennonite Church;10;1713;0.00;0.00
FE2;Hope Mennonite Fellowship;10;1078;0.00;0.00
D92;House of God Holy Church of the Living God, The Pillar and Ground of the Truth, House of Prayer for All People;5;;;
FHY;Hutterite Christian Communities;3;327;0.00;0.00
FHK;Independent Conservative Brethren;8;312;0.00;0.00
FGR;Independent Judaism;130;8486;0.01;0.00
FFD;Independent Lutheran Diocese;4;100;0.00;0.00
338;Independent Yearly Meetings of Friends;65;2417;0.00;0.00
FFX;Indian Bottom Association of Old Regular Baptists;43;1861;0.00;0.00
264;International Churches of Christ;175;53612;0.03;0.02
FE9;International Communion of the Charismatic Episcopal Church;56;;;
262;International Council of Community Churches;57;;;
256;International Fellowship of Bible Churches;36;;;
260;International Fellowship of Christian Assemblies;69;;;
265;International Pentecostal Church of Christ;49;;;
268;Jain;79;;;
272;Jehovah's Witnesses;12285;3016924;1.87;0.91
F26;Kentucky Christian Conference;35;;;
F27;Keystone Mennonite Fellowship;25;2821;0.00;0.00
FFL;Knanaya Churches in the USA;16;2817;0.00;0.00
FFJ;Laestadian Lutheran Church;29;;;
274;Latvian Evangelical Lutheran Church in America;12;;;
FHZ;Lehrerleut Hutterite;43;4754;0.00;0.00
D66;Liberal Catholic Church;8;;;
FDY;Little Flock Mennonite Churches;7;533;0.00;0.00
279;Lumber River Annual Conference of the Holiness Methodist Church;10;;;
283;Lutheran Church--Missouri Synod;5897;1802680;1.12;0.54
255;Lutheran Congregations in Mission for Christ;776;194144;0.12;0.06
330;Macedonian Orthodox Church: American Diocese;20;17325;0.01;0.01
890;Mahayana Buddhist;969;549344;0.34;0.17
334;Malankara Archdiocese of the Syrian Orthodox Church in North America;48;6828;0.00;0.00
F28;Malankara Mar Thoma Church;49;5531;0.00;0.00
333;Malankara Orthodox Syrian Church;110;21722;0.01;0.01
278;Maranatha Amish-Mennonite;16;1983;0.00;0.00
FFU;Meadow Springs Old Order Mennonite;4;958;0.00;0.00
282;Mennonite Christian Fellowship;24;2759;0.00;0.00
288;Mennonite Church USA;550;71058;0.04;0.02
290;Metropolitan Community Churches;114;8156;0.01;0.00
FDZ;Mid-Atlantic Mennonite Fellowship;32;3740;0.00;0.00
310;Midwest Beachy Amish-Mennonite;7;791;0.00;0.00
FD1;Midwest Mennonite Fellowship;23;2022;0.00;0.00
291;Missionary Church;463;57638;0.04;0.02
292;Moravian Church in America--Alaska Province;24;;;
293;Moravian Church in America--Northern Province;77;18098;0.01;0.01
295;Moravian Church in America--Southern Province;53;14291;0.01;0.00
267;Muslim Estimate;2771;4453908;2.76;1.34
175;National Association of Congregational Christian Churches;322;41582;0.03;0.01
223;National Association of Free Will Baptists;1930;156895;0.10;0.05
301;National Baptist Convention of America Inc.;389;225776;0.14;0.07
300;National Baptist Convention USA, Inc.;2530;1567741;0.97;0.47
302;National Missionary Baptist Convention Inc.;7564;2428820;1.51;0.73
304;National Primitive Baptist Convention USA, Inc.;130;35426;0.02;0.01
303;National Spiritualist Association of Churches;63;;;
F31;Nationwide Fellowship Mennonite Churches;78;7508;0.00;0.00
FHP;Nazarene Christian Congregation (Side A or B);8;289;0.00;0.00
307;Netherlands Reformed Congregations;16;;;
309;New Apostolic Church USA;187;;;
308;New Testament Association of Independent Baptist Church;119;;;
500;Non-denominational Christian Churches;44319;21095641;13.08;6.36
313;North American Baptist Conference;270;;;
314;North American Lutheran Church;441;;;
315;North American Old Roman Catholic Church;9;;;
F32;North Carolina Congregational Conference;10;;;
FD2;Northeastern Mennonite Conference;9;823;0.00;0.00
FFY;Northern New Salem Association of Old Regular Baptists;22;397;0.00;0.00
FFH;Old Apostolic Lutheran Church of America;28;;;
FHS;Old Brethren (California);5;292;0.00;0.00
FHT;Old Brethren (Goshen);3;427;0.00;0.00
FD3;Old Brethren German Baptist;2;296;0.00;0.00
FF2;Old German Baptist Brethren;47;6644;0.00;0.00
F35;Old German Baptist Brethren New Conference;35;3430;0.00;0.00
C51;Old Order German Baptist Church;4;283;0.00;0.00
324;Old Order River Brethren;5;688;0.00;0.00
FD4;Old Wenger Mennonite Church;3;152;0.00;0.00
329;Open Bible Churches;242;31068;0.02;0.01
FF3;Original Virginia Conference Old Order Mennonite;2;531;0.00;0.00
FGA;Orthodox Anglican Church;19;;;
331;Orthodox Church in America;560;74449;0.05;0.02
276;Orthodox Judaism;914;941480;0.58;0.28
FFC;Orthodox Lutheran Confessional Conference;2;;;
FHU;Orthodox Mennonite Church;2;284;0.00;0.00
FFN;Orthodox Old Roman Catholic Communion;6;;;
335;Orthodox Presbyterian Church;336;;;
400;Patriarchal Parishes of the Russian Orthodox Church in the USA;30;9773;0.01;0.00
D71;Pentecostal Assemblies of the World;108;54934;0.03;0.02
339;Pentecostal Church of God;990;;;
347;Pentecostal Free Will Baptist Church Inc.;32;;;
F38;Pilgrim Mennonite Conference;31;3096;0.00;0.00
350;Pillar Ministries;6;;;
FF4;Pleasant View Old Order (Virginia) Mennonite Conference;1;222;0.00;0.00
352;Polish National Catholic Church;97;;;
355;Presbyterian Church (U.S.A.);8851;1491775;0.93;0.45
356;Presbyterian Church in America;1873;372696;0.23;0.11
354;Presbyterian Reformed Church;5;;;
361;Primitive Baptists Associations;448;42196;0.03;0.01
362;Primitive Baptists Eastern District Association of;36;3404;0.00;0.00
363;Primitive Methodist Church in the USA;59;;;
364;Progressive National Baptist Convention Inc.;363;254571;0.16;0.08
365;Progressive Primitive Baptists;33;;;
369;Protestant Reformed Churches in America;30;8411;0.01;0.00
275;Reconstructionist Judaism;90;39441;0.02;0.01
271;Reform Judaism;690;662104;0.41;0.20
F41;Reformed Baptist Network;42;;;
FGB;Reformed Bible Church;4;;;
371;Reformed Church in America;912;235195;0.15;0.07
373;Reformed Church in the United States;47;3550;0.00;0.00
FFB;Reformed Congregations of North America;1;26;0.00;0.00
375;Reformed Episcopal Church;114;;;
379;Reformed Mennonite Church;7;127;0.00;0.00
380;Reformed Presbyterian Church General Assembly;12;;;
383;Reformed Presbyterian Church of North America;91;6647;0.00;0.00
382;Reformed Presbyterian Church Hanover Presbytery;15;;;
384;Reformed Zion Union Apostolic Church;38;4784;0.00;0.00
FHM;Reidenbach Mennonite;7;806;0.00;0.00
FHG;Remnant: Charity Ministries and related;32;;;
FF5;Riverdale Old Order (Virginia) Mennonite Conference;2;686;0.00;0.00
395;Romanian Orthodox Archdiocese in Americas;31;6289;0.00;0.00
401;Russian Orthodox Church Outside of Russia;199;23360;0.01;0.01
403;Salvation Army;1133;141098;0.09;0.04
FFZ;Sardis Association of Old Regular Baptists;24;587;0.00;0.00
FJ1;Schmiedeleut Hutterite Group 1;8;731;0.00;0.00
FJ2;Schmiedeleut Hutterite Group 2;69;8310;0.01;0.00
405;Schwenkfelder Church;4;2471;0.00;0.00
410;Serbian Orthodox Church in North America;121;59508;0.04;0.02
415;Seventh Day Baptist General Conference USA and Canada;79;4512;0.00;0.00
413;Seventh-day Adventist Church;5989;1339830;0.83;0.40
408;Shinto;9;;;
FG1;Solid Rock Association of Old Time Baptists;4;289;0.00;0.00
FD5;South Atlantic Mennonite Conference;6;494;0.00;0.00
F48;Southeastern Mennonite Conference;16;1307;0.00;0.00
419;Southern Baptist Convention;51379;17649040;10.95;5.32
F49;Southern Illinois Christian Conference;10;;;
421;Southern Methodist Church;73;;;
F51;Sovereign Grace Churches;65;;;
FHV;Stauffer Mennonite (independent groups);7;674;0.00;0.00
414;Stauffer Mennonite Church;17;3740;0.00;0.00
239;Swedenborgian Church;29;856;0.00;0.00
423;Syriac Orthodox Church of Antioch;47;12088;0.01;0.00
F52;Syro-Russian Orthodox Catholic Church;8;;;
424;Tampico Amish-Mennonite;18;4092;0.00;0.00
425;Tao;22;;;
F54;The local churches;320;;;
891;Theravada Buddhist;566;291413;0.18;0.09
FGQ;Twelve Tribes;29;;;
431;Ukrainian Orthodox Church of the USA;89;14971;0.01;0.00
432;Unaffiliated Amish-Mennonite (Conservative);34;2315;0.00;0.00
FHH;Unaffiliated Amish-Mennonite (Spring Garden network);7;1421;0.00;0.00
FHF;Unaffiliated Conservative Mennonite;86;7975;0.00;0.00
FD6;Unaffiliated Conservative Mennonite (Grandview fellowship);8;558;0.00;0.00
389;Unaffiliated Friends Meetings;6;557;0.00;0.00
FHR;Unaffiliated Mennonite (Wisler Christian Fellowship);3;451;0.00;0.00
FER;Unification Church;45;;;
FGV;Union American Methodist Episcopal Church;51;;;
437;Union of Messianic Jewish Congregations;55;;;
435;Unitarian Universalist Association of Congregations;1004;201541;0.13;0.06
F57;United American Free Will Baptist Denomination Inc.;29;;;
439;United Catholic Church;5;800;0.00;0.00
443;United Church of Christ;4793;924744;0.57;0.28
FGN;United Church of God;186;;;
FG5;United Episcopal Church of North America;24;;;
445;United Holy Church of America Inc.;352;17832;0.01;0.01
F58;United House of Prayer;134;21857;0.01;0.01
449;United Methodist Church;30051;8018629;4.97;2.42
454;United Pentecostal Church International;4549;;;
455;United Reformed Churches in North America;88;15541;0.01;0.00
459;United Zion Church;9;523;0.00;0.00
124;Unity Churches Association of;578;;;
461;Unity of the Brethren;24;;;
237;US Conference of Mennonite Brethren Churches;218;43308;0.03;0.01
892;Vajarayana Buddhist;449;200039;0.12;0.06
FFQ;Vanguard Presbytery;18;;;
462;Vedanta Society;36;;;
179;Venture Church Network;748;;;
463;Vineyard USA;499;155836;0.10;0.05
FD7;Washington-Franklin Mennonite Conference;17;3096;0.00;0.00
FJ3;Weaverland Mennonite Conference;50;18573;0.01;0.01
467;Wesleyan Church;1463;306005;0.19;0.09
FD8;Western Conservative Mennonite Fellowship;11;997;0.00;0.00
FJ5;Westminster Evangelical Presbyterian Church;2;;;
469;Wisconsin Evangelical Lutheran Synod;1198;408259;0.25;0.12
FD9;Wisler Mennonite Conference (Ohio);5;644;0.00;0.00
FE1;Wisler Mennonite Conference (Ohio-Indiana);10;1753;0.00;0.00
490;Zoroastrian;33;;;
